Wavelength (A)	Intensity [J/eV/sr/cm^2]
 5.91867E+00	 6.65644E-05
 5.91890E+00	 5.96875E-05
 5.91913E+00	 5.28494E-05
 5.91936E+00	 5.06633E-05
 5.91959E+00	 5.04264E-05
 5.91982E+00	 5.02719E-05
 5.92005E+00	 5.17760E-05
 5.92028E+00	 5.33178E-05
 5.92051E+00	 5.87670E-05
 5.92074E+00	 7.04337E-05
 5.92097E+00	 8.20296E-05
 5.92120E+00	 8.57251E-05
 5.92143E+00	 8.61782E-05
 5.92166E+00	 8.69750E-05
 5.92189E+00	 8.60363E-05
 5.92211E+00	 8.50815E-05
 5.92234E+00	 7.93015E-05
 5.92257E+00	 6.87335E-05
 5.92280E+00	 5.85490E-05
 5.92303E+00	 5.37316E-05
 5.92326E+00	 4.93124E-05
 5.92349E+00	 4.50552E-05
 5.92372E+00	 4.65391E-05
 5.92395E+00	 4.80438E-05
 5.92418E+00	 4.32115E-05
 5.92441E+00	 4.06399E-05
 5.92464E+00	 3.92545E-05
 5.92487E+00	 5.80436E-05
 5.92510E+00	 8.24212E-05
 5.92533E+00	 1.08693E-04
 5.92556E+00	 1.15644E-04
 5.92579E+00	 1.22399E-04
 5.92602E+00	 1.29689E-04
 5.92625E+00	 1.39092E-04
 5.92648E+00	 1.46586E-04
 5.92671E+00	 1.41446E-04
 5.92694E+00	 1.33131E-04
 5.92717E+00	 1.22707E-04
 5.92740E+00	 9.56629E-05
 5.92763E+00	 6.89820E-05
 5.92786E+00	 5.82151E-05
 5.92809E+00	 6.55158E-05
 5.92832E+00	 7.48877E-05
 5.92855E+00	 8.15660E-05
 5.92878E+00	 9.18004E-05
 5.92901E+00	 1.16714E-04
 5.92924E+00	 1.40288E-04
 5.92947E+00	 1.53593E-04
 5.92970E+00	 1.67121E-04
 5.92993E+00	 1.86026E-04
 5.93016E+00	 1.87058E-04
 5.93039E+00	 1.56354E-04
 5.93062E+00	 1.21898E-04
 5.93085E+00	 9.35416E-05
 5.93108E+00	 7.77418E-05
 5.93131E+00	 6.80756E-05
 5.93154E+00	 8.13258E-05
 5.93177E+00	 1.17536E-04
 5.93200E+00	 1.55466E-04
