Wavelength (A)	Intensity [J/eV/sr/cm^2]
 6.05470E+00	 4.68607E-05
 6.05493E+00	 5.73855E-05
 6.05516E+00	 6.82004E-05
 6.05539E+00	 7.92247E-05
 6.05562E+00	 9.03020E-05
 6.05585E+00	 1.01193E-04
 6.05608E+00	 1.10962E-04
 6.05631E+00	 1.13763E-04
 6.05654E+00	 1.15439E-04
 6.05677E+00	 1.15847E-04
 6.05700E+00	 1.02044E-04
 6.05723E+00	 8.93160E-05
 6.05746E+00	 7.61913E-05
 6.05769E+00	 6.21457E-05
 6.05792E+00	 4.79574E-05
 6.05815E+00	 4.60078E-05
 6.05838E+00	 4.77681E-05
 6.05861E+00	 5.74124E-05
 6.05884E+00	 1.02746E-04
 6.05907E+00	 1.55490E-04
 6.05930E+00	 1.73692E-04
 6.05953E+00	 1.54582E-04
 6.05976E+00	 1.30907E-04
 6.05999E+00	 1.18609E-04
 6.06022E+00	 8.95027E-05
 6.06045E+00	 6.05081E-05
 6.06068E+00	 5.54638E-05
 6.06091E+00	 6.53394E-05
 6.06114E+00	 7.23385E-05
 6.06137E+00	 8.00917E-05
 6.06160E+00	 8.96779E-05
 6.06183E+00	 9.22185E-05
 6.06206E+00	 9.08722E-05
 6.06229E+00	 8.87044E-05
 6.06252E+00	 8.16790E-05
 6.06275E+00	 7.28479E-05
 6.06298E+00	 6.85087E-05
 6.06321E+00	 6.96982E-05
 6.06344E+00	 7.10883E-05
 6.06367E+00	 7.25712E-05
 6.06390E+00	 7.90643E-05
 6.06413E+00	 8.48679E-05
 6.06435E+00	 8.22963E-05
 6.06458E+00	 7.73921E-05
 6.06481E+00	 8.21450E-05
 6.06504E+00	 8.94483E-05
 6.06527E+00	 9.67197E-05
 6.06550E+00	 1.01453E-04
 6.06573E+00	 1.07616E-04
 6.06596E+00	 1.12394E-04
 6.06619E+00	 1.10089E-04
 6.06642E+00	 1.07625E-04
 6.06665E+00	 9.81927E-05
 6.06688E+00	 8.45787E-05
 6.06711E+00	 7.11964E-05
 6.06734E+00	 8.80677E-05
 6.06757E+00	 1.07856E-04
 6.06780E+00	 1.24279E-04
 6.06803E+00	 1.31427E-04
 6.06826E+00	 1.38460E-04
 6.06849E+00	 1.25767E-04
 6.06872E+00	 9.97952E-05
 6.06895E+00	 7.39659E-05
 6.06918E+00	 6.30278E-05
 6.06941E+00	 5.31832E-05
 6.06964E+00	 5.12048E-05
 6.06987E+00	 6.89092E-05
 6.07010E+00	 8.64936E-05
 6.07033E+00	 8.71886E-05
 6.07056E+00	 7.72834E-05
 6.07079E+00	 6.71737E-05
 6.07102E+00	 8.62941E-05
 6.07125E+00	 1.06802E-04
 6.07148E+00	 1.28707E-04
 6.07171E+00	 1.48986E-04
 6.07194E+00	 1.68903E-04
 6.07217E+00	 1.70488E-04
 6.07240E+00	 1.62753E-04
 6.07263E+00	 1.54489E-04
 6.07286E+00	 1.24437E-04
 6.07309E+00	 9.39042E-05
 6.07332E+00	 6.96655E-05
 6.07355E+00	 6.25198E-05
 6.07378E+00	 5.73413E-05
 6.07401E+00	 5.85571E-05
 6.07424E+00	 6.11788E-05
 6.07447E+00	 6.10103E-05
 6.07470E+00	 6.97306E-05
 6.07492E+00	 7.83983E-05
 6.07515E+00	 7.87232E-05
 6.07538E+00	 6.31131E-05
 6.07561E+00	 4.74123E-05
 6.07584E+00	 4.20063E-05
 6.07607E+00	 4.16318E-05
 6.07630E+00	 4.37228E-05
 6.07653E+00	 4.71076E-05
 6.07676E+00	 4.91672E-05
 6.07699E+00	 4.90307E-05
 6.07722E+00	 4.82595E-05
 6.07745E+00	 4.77051E-05
 6.07768E+00	 4.41320E-05
 6.07791E+00	 4.00238E-05
 6.07814E+00	 3.88706E-05
 6.07837E+00	 4.90931E-05
 6.07860E+00	 6.20417E-05
 6.07883E+00	 8.59386E-05
 6.07906E+00	 1.25118E-04
 6.07929E+00	 1.55582E-04
 6.07952E+00	 1.39107E-04
 6.07975E+00	 1.03638E-04
 6.07998E+00	 6.91951E-05
 6.08021E+00	 5.22364E-05
 6.08044E+00	 3.57722E-05
 6.08067E+00	 3.27609E-05
 6.08090E+00	 5.13200E-05
 6.08113E+00	 7.17085E-05
 6.08136E+00	 6.19085E-05
 6.08159E+00	 4.15876E-05
 6.08182E+00	 2.50846E-05
 6.08205E+00	 5.23106E-05
 6.08228E+00	 8.15103E-05
 6.08251E+00	 9.77608E-05
 6.08274E+00	 9.22273E-05
 6.08297E+00	 8.40258E-05
 6.08320E+00	 7.14387E-05
 6.08343E+00	 5.81097E-05
 6.08366E+00	 4.56820E-05
 6.08389E+00	 4.21966E-05
 6.08412E+00	 3.97673E-05
 6.08435E+00	 3.95915E-05
 6.08458E+00	 4.23782E-05
 6.08481E+00	 4.51262E-05
 6.08504E+00	 4.20929E-05
 6.08527E+00	 3.72490E-05
 6.08550E+00	 3.61677E-05
 6.08573E+00	 6.47132E-05
 6.08595E+00	 9.35055E-05
 6.08618E+00	 1.05927E-04
 6.08641E+00	 9.94340E-05
 6.08664E+00	 9.30117E-05
 6.08687E+00	 9.92058E-05
 6.08710E+00	 1.11244E-04
 6.08733E+00	 1.22349E-04
 6.08756E+00	 1.22869E-04
 6.08779E+00	 1.22792E-04
 6.08802E+00	 1.28772E-04
 6.08825E+00	 1.43772E-04
 6.08848E+00	 1.58877E-04
 6.08871E+00	 1.74246E-04
 6.08894E+00	 1.86822E-04
 6.08917E+00	 1.91339E-04
 6.08940E+00	 1.52527E-04
 6.08963E+00	 1.13809E-04
 6.08986E+00	 8.90416E-05
 6.09009E+00	 7.82095E-05
 6.09032E+00	 6.74473E-05
 6.09055E+00	 6.65658E-05
 6.09078E+00	 6.76552E-05
 6.09101E+00	 7.15332E-05
 6.09124E+00	 8.60143E-05
 6.09147E+00	 1.00500E-04
 6.09170E+00	 1.16591E-04
 6.09193E+00	 1.34307E-04
 6.09216E+00	 1.50713E-04
 6.09239E+00	 1.28893E-04
 6.09262E+00	 1.00988E-04
 6.09285E+00	 7.95812E-05
 6.09308E+00	 8.07738E-05
 6.09331E+00	 8.19184E-05
 6.09354E+00	 7.51269E-05
 6.09377E+00	 6.07269E-05
 6.09400E+00	 5.11135E-05
 6.09423E+00	 7.85126E-05
 6.09446E+00	 1.10691E-04
 6.09469E+00	 1.47991E-04
 6.09492E+00	 1.64073E-04
 6.09515E+00	 1.71963E-04
 6.09538E+00	 1.62927E-04
 6.09561E+00	 1.58778E-04
 6.09584E+00	 1.47962E-04
 6.09607E+00	 1.38663E-04
 6.09630E+00	 1.31344E-04
 6.09653E+00	 1.41290E-04
 6.09676E+00	 1.65991E-04
 6.09698E+00	 1.91947E-04
 6.09721E+00	 1.95439E-04
 6.09744E+00	 1.80605E-04
 6.09767E+00	 1.63454E-04
 6.09790E+00	 1.66034E-04
 6.09813E+00	 1.71870E-04
 6.09836E+00	 1.79583E-04
 6.09859E+00	 1.86204E-04
 6.09882E+00	 1.91260E-04
 6.09905E+00	 1.84049E-04
 6.09928E+00	 1.68562E-04
 6.09951E+00	 1.53597E-04
 6.09974E+00	 1.45409E-04
 6.09997E+00	 1.38193E-04
 6.10020E+00	 1.30338E-04
 6.10043E+00	 1.19901E-04
 6.10066E+00	 1.13696E-04
 6.10089E+00	 1.13679E-04
 6.10112E+00	 1.15477E-04
 6.10135E+00	 1.14070E-04
 6.10158E+00	 1.16111E-04
 6.10181E+00	 1.22148E-04
 6.10204E+00	 1.25896E-04
 6.10227E+00	 1.23212E-04
 6.10250E+00	 1.24786E-04
 6.10273E+00	 1.25269E-04
 6.10296E+00	 1.21168E-04
 6.10319E+00	 1.15060E-04
 6.10342E+00	 1.20026E-04
 6.10365E+00	 1.20234E-04
 6.10388E+00	 1.20102E-04
 6.10411E+00	 1.16304E-04
 6.10434E+00	 1.09436E-04
 6.10457E+00	 1.08380E-04
 6.10480E+00	 1.15322E-04
 6.10503E+00	 1.22756E-04
 6.10526E+00	 1.23133E-04
 6.10549E+00	 1.25223E-04
 6.10572E+00	 1.19855E-04
 6.10595E+00	 9.91928E-05
 6.10618E+00	 7.87036E-05
 6.10641E+00	 6.52327E-05
 6.10664E+00	 5.47063E-05
 6.10687E+00	 4.42755E-05
 6.10710E+00	 4.72623E-05
 6.10733E+00	 5.07429E-05
 6.10756E+00	 5.31356E-05
 6.10778E+00	 5.53234E-05
 6.10801E+00	 5.76948E-05
 6.10824E+00	 7.78048E-05
 6.10847E+00	 1.06384E-04
 6.10870E+00	 1.34592E-04
 6.10893E+00	 1.48504E-04
 6.10916E+00	 1.62152E-04
 6.10939E+00	 1.63765E-04
 6.10962E+00	 1.45329E-04
 6.10985E+00	 1.27132E-04
 6.11008E+00	 1.42547E-04
 6.11031E+00	 1.72584E-04
 6.11054E+00	 2.00895E-04
 6.11077E+00	 1.92065E-04
 6.11100E+00	 1.83210E-04
 6.11123E+00	 1.67569E-04
 6.11146E+00	 1.42029E-04
 6.11169E+00	 1.16693E-04
 6.11192E+00	 1.15138E-04
 6.11215E+00	 1.23729E-04
 6.11238E+00	 1.31721E-04
 6.11261E+00	 1.26530E-04
 6.11284E+00	 1.21366E-04
 6.11307E+00	 1.22427E-04
 6.11330E+00	 1.30159E-04
 6.11353E+00	 1.38705E-04
 6.11376E+00	 1.59633E-04
 6.11399E+00	 1.82779E-04
 6.11422E+00	 1.97544E-04
 6.11445E+00	 2.01720E-04
 6.11468E+00	 2.05751E-04
 6.11491E+00	 1.96705E-04
 6.11514E+00	 1.58807E-04
 6.11537E+00	 1.23269E-04
 6.11560E+00	 1.04882E-04
 6.11583E+00	 9.07283E-05
 6.11606E+00	 7.59617E-05
 6.11629E+00	 8.85027E-05
 6.11652E+00	 1.02187E-04
 6.11675E+00	 1.11509E-04
 6.11698E+00	 1.08288E-04
 6.11721E+00	 1.03342E-04
 6.11744E+00	 1.09679E-04
 6.11767E+00	 1.19557E-04
 6.11790E+00	 1.23082E-04
 6.11813E+00	 1.18866E-04
 6.11836E+00	 1.12572E-04
 6.11859E+00	 1.08308E-04
 6.11881E+00	 1.09835E-04
 6.11904E+00	 1.16327E-04
 6.11927E+00	 1.23004E-04
 6.11950E+00	 1.30559E-04
 6.11973E+00	 1.38790E-04
 6.11996E+00	 1.31635E-04
 6.12019E+00	 1.22301E-04
 6.12042E+00	 1.15678E-04
 6.12065E+00	 1.12771E-04
 6.12088E+00	 1.05081E-04
 6.12111E+00	 1.30593E-04
 6.12134E+00	 1.66129E-04
 6.12157E+00	 1.98831E-04
 6.12180E+00	 2.03337E-04
 6.12203E+00	 2.13198E-04
 6.12226E+00	 2.20788E-04
 6.12249E+00	 2.22079E-04
 6.12272E+00	 2.16226E-04
 6.12295E+00	 1.99506E-04
 6.12318E+00	 1.79680E-04
 6.12341E+00	 1.57145E-04
 6.12364E+00	 1.23923E-04
 6.12387E+00	 9.33445E-05
 6.12410E+00	 7.70009E-05
 6.12433E+00	 7.46036E-05
 6.12456E+00	 7.25488E-05
 6.12479E+00	 6.91738E-05
 6.12502E+00	 6.77334E-05
 6.12525E+00	 6.79701E-05
 6.12548E+00	 7.49684E-05
 6.12571E+00	 8.19462E-05
 6.12594E+00	 8.65232E-05
 6.12617E+00	 1.01094E-04
 6.12640E+00	 1.18395E-04
 6.12663E+00	 1.31225E-04
 6.12686E+00	 1.32956E-04
 6.12709E+00	 1.33685E-04
 6.12732E+00	 1.28915E-04
 6.12755E+00	 1.23083E-04
 6.12778E+00	 1.10606E-04
 6.12801E+00	 9.29753E-05
 6.12824E+00	 7.53845E-05
 6.12847E+00	 6.40271E-05
 6.12870E+00	 5.48706E-05
 6.12893E+00	 4.95950E-05
 6.12916E+00	 6.73927E-05
 6.12938E+00	 8.65139E-05
 6.12961E+00	 1.07331E-04
 6.12984E+00	 1.28786E-04
 6.13007E+00	 1.50134E-04
 6.13030E+00	 1.98225E-04
 6.13053E+00	 2.61012E-04
 6.13076E+00	 3.09740E-04
 6.13099E+00	 2.45993E-04
 6.13122E+00	 1.82271E-04
 6.13145E+00	 1.57532E-04
 6.13168E+00	 1.65394E-04
 6.13191E+00	 1.73070E-04
 6.13214E+00	 1.89080E-04
 6.13237E+00	 2.04560E-04
 6.13260E+00	 2.06337E-04
 6.13283E+00	 1.93313E-04
 6.13306E+00	 1.80267E-04
 6.13329E+00	 1.85856E-04
 6.13352E+00	 1.94734E-04
 6.13375E+00	 2.00339E-04
 6.13398E+00	 1.75669E-04
 6.13421E+00	 1.50043E-04
 6.13444E+00	 1.37512E-04
 6.13467E+00	 1.38731E-04
 6.13490E+00	 1.39508E-04
 6.13513E+00	 1.13699E-04
 6.13536E+00	 7.81867E-05
 6.13559E+00	 4.62470E-05
 6.13582E+00	 3.78262E-05
 6.13605E+00	 3.00829E-05
 6.13628E+00	 2.42354E-05
 6.13651E+00	 2.16496E-05
 6.13674E+00	 1.89789E-05
 6.13697E+00	 2.50411E-05
 6.13720E+00	 3.60773E-05
 6.13743E+00	 4.73100E-05
 6.13766E+00	 4.72138E-05
 6.13789E+00	 4.70939E-05
 6.13812E+00	 5.04779E-05
 6.13835E+00	 5.88040E-05
 6.13858E+00	 6.73168E-05
 6.13881E+00	 8.36978E-05
 6.13904E+00	 1.03951E-04
 6.13927E+00	 1.23740E-04
 6.13950E+00	 1.15437E-04
 6.13973E+00	 1.08102E-04
 6.13996E+00	 1.00643E-04
 6.14019E+00	 8.94934E-05
 6.14042E+00	 7.66120E-05
 6.14065E+00	 7.82197E-05
 6.14087E+00	 8.62972E-05
 6.14110E+00	 9.20557E-05
 6.14133E+00	 9.09804E-05
 6.14156E+00	 8.99483E-05
 6.14179E+00	 9.53008E-05
 6.14202E+00	 1.11707E-04
 6.14225E+00	 1.34150E-04
 6.14248E+00	 1.44141E-04
 6.14271E+00	 1.60949E-04
 6.14294E+00	 1.94171E-04
 6.14317E+00	 2.21853E-04
 6.14340E+00	 2.11793E-04
 6.14363E+00	 1.99418E-04
 6.14386E+00	 2.02667E-04
 6.14409E+00	 2.27958E-04
 6.14432E+00	 2.43781E-04
 6.14455E+00	 2.28753E-04
 6.14478E+00	 2.00344E-04
 6.14501E+00	 1.80153E-04
 6.14524E+00	 1.76595E-04
 6.14547E+00	 1.71992E-04
 6.14570E+00	 1.72401E-04
 6.14593E+00	 1.79507E-04
 6.14616E+00	 1.73661E-04
 6.14639E+00	 1.45488E-04
 6.14662E+00	 1.17734E-04
 6.14685E+00	 1.14520E-04
 6.14708E+00	 1.12937E-04
 6.14731E+00	 1.11225E-04
 6.14754E+00	 1.11293E-04
 6.14777E+00	 1.11976E-04
 6.14800E+00	 9.97766E-05
 6.14823E+00	 8.80644E-05
 6.14846E+00	 7.97777E-05
 6.14869E+00	 1.00352E-04
 6.14892E+00	 1.20982E-04
 6.14915E+00	 1.42404E-04
 6.14938E+00	 1.68725E-04
 6.14961E+00	 1.94753E-04
 6.14984E+00	 1.64945E-04
 6.15007E+00	 1.18965E-04
 6.15030E+00	 7.80372E-05
 6.15053E+00	 6.87407E-05
 6.15076E+00	 5.86521E-05
 6.15099E+00	 5.69366E-05
 6.15122E+00	 6.67742E-05
 6.15144E+00	 7.65258E-05
 6.15167E+00	 7.13700E-05
 6.15190E+00	 6.16468E-05
 6.15213E+00	 5.29981E-05
 6.15236E+00	 5.24363E-05
 6.15259E+00	 5.18426E-05
 6.15282E+00	 4.73240E-05
 6.15305E+00	 3.86319E-05
 6.15328E+00	 3.00470E-05
 6.15351E+00	 3.90804E-05
 6.15374E+00	 5.18609E-05
 6.15397E+00	 6.59886E-05
 6.15420E+00	 9.12817E-05
 6.15443E+00	 1.16510E-04
 6.15466E+00	 1.33664E-04
 6.15489E+00	 1.43012E-04
 6.15512E+00	 1.52541E-04
 6.15535E+00	 1.67123E-04
 6.15558E+00	 1.82412E-04
 6.15581E+00	 1.93940E-04
 6.15604E+00	 1.80130E-04
 6.15627E+00	 1.66255E-04
 6.15650E+00	 1.42355E-04
 6.15673E+00	 1.08394E-04
 6.15696E+00	 7.39137E-05
 6.15719E+00	 7.27657E-05
 6.15742E+00	 7.73974E-05
 6.15765E+00	 8.94981E-05
 6.15788E+00	 1.05157E-04
 6.15811E+00	 1.19143E-04
 6.15834E+00	 1.18062E-04
 6.15857E+00	 1.09778E-04
 6.15880E+00	 9.47237E-05
 6.15903E+00	 7.85742E-05
 6.15926E+00	 6.30016E-05
 6.15949E+00	 5.36947E-05
 6.15972E+00	 5.29328E-05
 6.15995E+00	 5.13927E-05
 6.16018E+00	 6.11560E-05
 6.16041E+00	 8.07846E-05
 6.16064E+00	 1.05714E-04
 6.16087E+00	 1.23284E-04
 6.16110E+00	 1.40434E-04
 6.16133E+00	 1.58398E-04
 6.16156E+00	 1.74078E-04
 6.16179E+00	 1.87680E-04
 6.16202E+00	 1.84367E-04
 6.16225E+00	 1.69040E-04
 6.16248E+00	 1.51354E-04
 6.16270E+00	 1.34358E-04
 6.16293E+00	 1.19643E-04
 6.16316E+00	 1.08518E-04
 6.16339E+00	 1.01608E-04
 6.16362E+00	 9.22040E-05
 6.16385E+00	 8.83552E-05
 6.16408E+00	 8.78533E-05
 6.16431E+00	 8.61251E-05
 6.16454E+00	 6.90098E-05
 6.16477E+00	 5.27061E-05
 6.16500E+00	 4.13990E-05
 6.16523E+00	 4.16727E-05
 6.16546E+00	 4.27589E-05
 6.16569E+00	 5.16931E-05
 6.16592E+00	 6.55542E-05
 6.16615E+00	 7.92790E-05
 6.16638E+00	 7.36553E-05
 6.16661E+00	 6.70778E-05
 6.16684E+00	 6.05034E-05
 6.16707E+00	 5.48420E-05
 6.16730E+00	 5.05276E-05
 6.16753E+00	 5.21312E-05
 6.16776E+00	 5.76970E-05
 6.16799E+00	 6.33458E-05
 6.16822E+00	 6.31440E-05
 6.16845E+00	 5.74651E-05
 6.16868E+00	 4.97794E-05
 6.16891E+00	 4.27394E-05
 6.16914E+00	 3.84350E-05
 6.16937E+00	 4.52997E-05
 6.16960E+00	 5.13646E-05
 6.16983E+00	 5.73773E-05
 6.17006E+00	 5.77456E-05
 6.17029E+00	 6.00064E-05
 6.17052E+00	 6.38972E-05
 6.17075E+00	 7.11583E-05
 6.17098E+00	 7.83701E-05
 6.17121E+00	 7.67582E-05
 6.17144E+00	 7.11794E-05
 6.17167E+00	 6.59103E-05
 6.17190E+00	 8.42613E-05
 6.17213E+00	 1.04624E-04
 6.17236E+00	 1.11478E-04
 6.17259E+00	 8.73290E-05
 6.17282E+00	 6.32646E-05
 6.17305E+00	 5.12157E-05
 6.17327E+00	 4.49944E-05
 6.17350E+00	 4.00199E-05
 6.17373E+00	 7.78523E-05
 6.17396E+00	 1.15890E-04
 6.17419E+00	 1.39227E-04
 6.17442E+00	 1.38066E-04
 6.17465E+00	 1.37043E-04
 6.17488E+00	 1.55345E-04
 6.17511E+00	 1.81815E-04
 6.17534E+00	 2.05458E-04
 6.17557E+00	 1.69847E-04
 6.17580E+00	 1.34284E-04
 6.17603E+00	 9.66296E-05
 6.17626E+00	 6.17831E-05
 6.17649E+00	 2.77280E-05
 6.17672E+00	 2.85521E-05
 6.17695E+00	 3.67440E-05
 6.17718E+00	 4.06588E-05
 6.17741E+00	 4.89754E-05
 6.17764E+00	 5.72466E-05
 6.17787E+00	 6.00384E-05
 6.17810E+00	 5.39358E-05
 6.17833E+00	 4.88340E-05
 6.17856E+00	 4.77530E-05
 6.17879E+00	 4.71962E-05
 6.17902E+00	 4.67789E-05
 6.17925E+00	 5.70056E-05
 6.17948E+00	 6.75901E-05
 6.17971E+00	 7.88697E-05
 6.17994E+00	 8.71309E-05
 6.18017E+00	 9.52926E-05
 6.18040E+00	 8.87725E-05
 6.18063E+00	 7.77954E-05
 6.18086E+00	 6.36121E-05
 6.18109E+00	 5.15657E-05
 6.18132E+00	 3.96572E-05
 6.18155E+00	 3.42743E-05
 6.18178E+00	 3.67232E-05
 6.18201E+00	 4.13935E-05
 6.18224E+00	 5.42710E-05
 6.18247E+00	 6.88276E-05
 6.18270E+00	 7.91993E-05
 6.18293E+00	 7.21332E-05
 6.18316E+00	 6.71290E-05
 6.18339E+00	 6.13980E-05
 6.18362E+00	 5.31944E-05
 6.18385E+00	 4.06081E-05
 6.18408E+00	 5.14546E-05
 6.18431E+00	 6.85361E-05
 6.18453E+00	 8.13104E-05
 6.18476E+00	 6.50143E-05
 6.18499E+00	 4.97370E-05
 6.18522E+00	 4.12301E-05
 6.18545E+00	 3.94229E-05
 6.18568E+00	 3.69279E-05
 6.18591E+00	 4.50840E-05
 6.18614E+00	 5.56667E-05
 6.18637E+00	 6.43894E-05
 6.18660E+00	 6.35566E-05
 6.18683E+00	 6.29375E-05
 6.18706E+00	 5.92360E-05
 6.18729E+00	 5.25175E-05
 6.18752E+00	 4.58853E-05
 6.18775E+00	 5.20844E-05
 6.18798E+00	 6.06625E-05
 6.18821E+00	 6.90180E-05
 6.18844E+00	 7.67187E-05
 6.18867E+00	 8.49342E-05
 6.18890E+00	 8.09098E-05
 6.18913E+00	 6.62541E-05
 6.18936E+00	 5.18465E-05
 6.18959E+00	 5.01594E-05
 6.18982E+00	 5.17650E-05
 6.19005E+00	 5.67795E-05
 6.19028E+00	 7.79056E-05
 6.19051E+00	 1.01200E-04
 6.19074E+00	 1.17569E-04
 6.19097E+00	 1.25228E-04
 6.19120E+00	 1.32794E-04
 6.19143E+00	 1.27067E-04
 6.19166E+00	 1.13274E-04
 6.19189E+00	 9.87356E-05
 6.19212E+00	 8.23506E-05
 6.19235E+00	 6.61778E-05
 6.19258E+00	 5.68934E-05
 6.19281E+00	 5.41647E-05
 6.19304E+00	 5.14506E-05
 6.19327E+00	 5.51418E-05
 6.19350E+00	 6.14364E-05
 6.19373E+00	 6.69443E-05
 6.19396E+00	 6.99267E-05
 6.19419E+00	 7.29281E-05
 6.19442E+00	 7.78884E-05
 6.19465E+00	 8.38141E-05
 6.19488E+00	 8.98052E-05
 6.19511E+00	 1.04815E-04
 6.19533E+00	 1.20503E-04
 6.19556E+00	 1.30681E-04
 6.19579E+00	 1.25506E-04
 6.19602E+00	 1.20328E-04
 6.19625E+00	 1.16722E-04
 6.19648E+00	 1.13570E-04
 6.19671E+00	 1.10661E-04
 6.19694E+00	 1.05329E-04
 6.19717E+00	 9.97533E-05
 6.19740E+00	 9.70127E-05
 6.19763E+00	 1.02192E-04
 6.19786E+00	 1.07342E-04
 6.19809E+00	 9.89096E-05
 6.19832E+00	 8.74774E-05
 6.19855E+00	 7.64226E-05
 6.19878E+00	 7.23665E-05
 6.19901E+00	 6.85921E-05
 6.19924E+00	 7.02379E-05
 6.19947E+00	 7.32399E-05
 6.19970E+00	 7.64982E-05
 6.19993E+00	 8.10297E-05
 6.20016E+00	 8.57146E-05
 6.20039E+00	 8.96547E-05
 6.20062E+00	 8.63240E-05
 6.20085E+00	 8.28333E-05
 6.20108E+00	 8.23461E-05
 6.20131E+00	 9.00401E-05
 6.20154E+00	 9.76083E-05
 6.20177E+00	 1.20963E-04
 6.20200E+00	 1.52662E-04
 6.20223E+00	 1.83717E-04
 6.20246E+00	 1.66150E-04
 6.20269E+00	 1.48073E-04
 6.20292E+00	 1.27742E-04
 6.20315E+00	 1.04772E-04
 6.20338E+00	 8.03845E-05
 6.20361E+00	 6.14284E-05
 6.20384E+00	 4.65782E-05
 6.20407E+00	 4.21331E-05
 6.20430E+00	 4.67849E-05
 6.20453E+00	 6.41699E-05
 6.20476E+00	 9.54310E-05
 6.20499E+00	 1.30430E-04
 6.20522E+00	 1.04042E-04
 6.20545E+00	 7.27009E-05
 6.20568E+00	 5.34183E-05
 6.20591E+00	 5.75573E-05
 6.20613E+00	 7.03212E-05
 6.20636E+00	 7.83595E-05
 6.20659E+00	 7.60794E-05
 6.20682E+00	 6.03676E-05
 6.20705E+00	 5.02274E-05
 6.20728E+00	 4.35426E-05
 6.20751E+00	 3.66941E-05
 6.20774E+00	 2.94421E-05
 6.20797E+00	 3.26345E-05
 6.20820E+00	 3.46152E-05
 6.20843E+00	 4.10977E-05
 6.20866E+00	 5.50632E-05
 6.20889E+00	 6.99100E-05
 6.20912E+00	 8.78691E-05
 6.20935E+00	 1.13159E-04
 6.20958E+00	 1.36406E-04
 6.20981E+00	 1.18396E-04
 6.21004E+00	 9.14052E-05
 6.21027E+00	 7.51999E-05
 6.21050E+00	 7.51607E-05
 6.21073E+00	 7.56631E-05
 6.21096E+00	 8.26207E-05
 6.21119E+00	 9.36858E-05
 6.21142E+00	 1.03291E-04
 6.21165E+00	 9.91466E-05
 6.21188E+00	 9.47518E-05
 6.21211E+00	 1.00495E-04
 6.21234E+00	 1.21126E-04
 6.21257E+00	 1.41793E-04
 6.21280E+00	 1.42178E-04
 6.21303E+00	 1.36374E-04
 6.21326E+00	 1.31630E-04
 6.21349E+00	 1.34708E-04
 6.21372E+00	 1.37645E-04
 6.21395E+00	 1.29048E-04
 6.21418E+00	 1.08208E-04
 6.21441E+00	 8.75387E-05
 6.21464E+00	 9.26233E-05
 6.21487E+00	 1.04947E-04
 6.21510E+00	 1.15981E-04
 6.21533E+00	 1.15200E-04
 6.21556E+00	 1.14326E-04
 6.21579E+00	 1.14324E-04
 6.21602E+00	 1.16743E-04
 6.21625E+00	 1.19215E-04
 6.21648E+00	 1.20271E-04
 6.21671E+00	 1.20948E-04
 6.21694E+00	 1.22897E-04
 6.21716E+00	 1.28577E-04
 6.21739E+00	 1.34203E-04
 6.21762E+00	 1.29802E-04
 6.21785E+00	 1.15865E-04
 6.21808E+00	 1.02308E-04
 6.21831E+00	 1.34121E-04
 6.21854E+00	 1.74840E-04
 6.21877E+00	 2.09589E-04
 6.21900E+00	 2.31927E-04
 6.21923E+00	 2.54075E-04
 6.21946E+00	 2.53168E-04
 6.21969E+00	 2.25971E-04
 6.21992E+00	 2.00055E-04
 6.22015E+00	 1.71938E-04
 6.22038E+00	 1.42903E-04
 6.22061E+00	 1.11797E-04
 6.22084E+00	 9.43658E-05
 6.22107E+00	 7.68932E-05
 6.22130E+00	 7.40614E-05
 6.22153E+00	 8.51940E-05
 6.22176E+00	 9.92534E-05
 6.22199E+00	 8.90778E-05
 6.22222E+00	 7.48374E-05
 6.22245E+00	 6.43839E-05
 6.22268E+00	 6.58941E-05
 6.22291E+00	 6.82877E-05
 6.22314E+00	 8.42611E-05
 6.22337E+00	 1.10256E-04
 6.22360E+00	 1.40270E-04
 6.22383E+00	 1.43277E-04
 6.22406E+00	 1.42097E-04
 6.22429E+00	 1.41898E-04
 6.22452E+00	 1.53533E-04
 6.22475E+00	 1.71063E-04
 6.22498E+00	 1.81724E-04
 6.22521E+00	 1.83788E-04
 6.22544E+00	 1.67381E-04
 6.22567E+00	 1.55896E-04
 6.22590E+00	 1.43906E-04
 6.22613E+00	 1.39144E-04
 6.22636E+00	 1.60250E-04
 6.22659E+00	 1.83732E-04
 6.22682E+00	 1.89101E-04
 6.22705E+00	 1.82297E-04
 6.22728E+00	 1.77759E-04
 6.22751E+00	 1.48566E-04
 6.22774E+00	 1.18027E-04
 6.22796E+00	 9.54755E-05
 6.22819E+00	 9.33095E-05
 6.22842E+00	 8.54160E-05
 6.22865E+00	 7.76933E-05
 6.22888E+00	 7.51231E-05
 6.22911E+00	 7.73948E-05
 6.22934E+00	 8.12334E-05
 6.22957E+00	 8.47956E-05
 6.22980E+00	 8.31770E-05
 6.23003E+00	 6.60563E-05
 6.23026E+00	 4.37788E-05
 6.23049E+00	 4.48106E-05
 6.23072E+00	 6.26669E-05
 6.23095E+00	 8.13884E-05
 6.23118E+00	 8.99887E-05
 6.23141E+00	 9.49577E-05
 6.23164E+00	 9.38445E-05
 6.23187E+00	 8.90291E-05
 6.23210E+00	 9.14710E-05
 6.23233E+00	 1.03263E-04
 6.23256E+00	 1.03155E-04
 6.23279E+00	 1.02963E-04
