#  Date and Time of Calculation:  ************************
#  Number of Photon Energies =       200
# --------------------------------------------------------------------
#  INCIDENT SPECTRUM:                   at time =   0.0000E+00
#  Surface:   Foil,  Surface index = ***
#    Total Flux (J/cm2/s) =   8.9510E+11     Drive Temperature (eV) =  5.4318E+01
#
#    hv (eV)  flux(J/cm2/s/eV)
#
    2.32720E+03    7.03989E+05
    2.49451E+03    3.16185E+05
    2.67384E+03    1.32334E+05
    2.86607E+03    5.13497E+04
    3.07211E+03    1.83756E+04
    3.29297E+03    6.02887E+03
    3.52971E+03    1.80236E+03
    3.78346E+03    4.87750E+02
    4.05546E+03    1.18624E+02
    4.34701E+03    2.57320E+01
    4.65953E+03    4.93750E+00
    4.99451E+03    8.30801E-01
    5.35357E+03    1.21434E-01
    5.73844E+03    1.52634E-02
    6.15099E+03    1.63190E-03
    6.59319E+03    1.46714E-04
    7.06718E+03    1.09535E-05
    7.57525E+03    6.70088E-07
    8.11984E+03    3.31137E-08
    8.70359E+03    1.30159E-09
    9.32930E+03    4.00326E-11
    1.00000E+04    9.46486E-13
# --------------------------------------------------------------------
